FK,KD_JENIS_TRANSAKSI,FG_PENGGANTI,NOMOR_FAKTUR,MASA_PAJAK,TAHUN_PAJAK,TANGGAL_FAKTUR,NPWP,NAMA,ALAMAT_LENGKAP,JUMLAH_DPP,JUMLAH_PPN,JUMLAH_PPNBM,ID_KETERANGAN_TAMBAHAN,FG_UANG_MUKA,UANG_MUKA_DPP,UANG_MUKA_PPN,UANG_MUKA_PPNBM,REFERENSI
LT,NPWP,NAMA,JALAN,BLOK,NOMOR,RT,RW,KECAMATAN,KELURAHAN,KABUPATEN,PROPINSI,KODE_POS,NOMOR_TELEPON,,,,,
OF,KODE_OBJEK,NAMA,HARGA_SATUAN,JUMLAH_BARANG,HARGA_TOTAL,DISKON,DPP,PPN,TARIF_PPNBM,PPNBM,,,,,,,,
FK,01,0,0061802514215,11,2018,30/11/2018,010619963092000,PT. SUZUKI INDOMOBIL MOTOR,JL. RAYA BEKASI KM.19 RT.009 RW.001 RAWA TERATE CAKUNG JAKARTA TIMUR DKI JAKARTA ,287583763,28758376,0,,0,0,0,0,"INV/2018/2216,INV/2018/2103,INV/2018/2238,INV/2018/2093,INV/2018/1946,INV/2018/1947,INV/2018/1921,INV/2018/1918"
FAPR,PT Caturindo Agungjaya Rubber,"JL. RUMAH SAKIT NO. 82 - 88 UJUNGBERUNG, PAKEMITAN, CINAMBO JAWA BARAT",,,,,,,,,,,,,,,,
OF,SIM012,09321-10023#CUSHION FRONT HOOD LOCK,823.0,1080.0,888840.0,0,888840.0,88884.0,0,0,,,,,,,,
OF,ISI026,72231-77501#FLAP FRONT MUD,9999.0,60.0,599940.0,0,599940.0,59994.0,0,0,,,,,,,,
OF,ISI027,72232-77572#FLAP REAR MUD,10597.0,280.0,2967160.0,0,2967160.0,296716.0,0,0,,,,,,,,
OF,ISI028,17871-73R00#HOSE HTR INLET,12009.0,300.0,3602700.0,0,3602700.0,360270.0,0,0,,,,,,,,
OF,ISI028,17871-73R00#HOSE HTR INLET,11297.0,220.0,2485340.0,0,2485340.0,248534.0,0,0,,,,,,,,
OF,ISI029,17872-73R0#HOSE HTR OUTLET,11543.0,220.0,2539460.0,0,2539460.0,253946.0,0,0,,,,,,,,
OF,ISI017,SIM.35153-65J00#GROMMET REAR COMB LAMP,662.0,480.0,317760.0,0,317760.0,31776.0,0,0,,,,,,,,
OF,SIM020,89445-60G10-00#PROTECTOR TANK FLANGE,1402.0,576.0,807552.0,0,807552.0,80755.20000000001,0,0,,,,,,,,
OF,ISI014,37275-67L00#CAP CGLTR HOLE,700.0,192.0,134400.0,0,134400.0,13440.0,0,0,,,,,,,,
OF,ISI030,09321-07003#CUSHION FRONT HOOD,2928.0,468.0,1370304.0,0,1370304.0,137030.4,0,0,,,,,,,,
OF,ISI031,09321-07003#CUSHION FRONT HOOD (copy),5054.0,468.0,2365272.0,0,2365272.0,236527.2,0,0,,,,,,,,
OF,SIM032,13881-85R00#BOOT AIR CLEANER,11644.0,48.0,558912.0,0,558912.0,55891.200000000004,0,0,,,,,,,,
OF,ISI016,SIM.34955-70K00-000#BUSH EPI BRKT,484.0,360.0,174240.0,0,174240.0,17424.0,0,0,,,,,,,,
OF,ISI020,SIM.75561-67L00-000#PAD SPARE TIRE,3533.0,324.0,1144692.0,0,1144692.0,114469.20000000001,0,0,,,,,,,,
OF,ISI,09250-30010-000#CAP REAR FLOOR DRAIN,601.0,864.0,519264.0,0,519264.0,51926.4,0,0,,,,,,,,
OF,SIM006,09320-06006#CUSHION SPARE TIRE STOPPER,869.0,1056.0,917664.0,0,917664.0,91766.40000000001,0,0,,,,,,,,
OF,ISI006,18571-65H20-00#CAP CANISTER IR,2051.0,504.0,1033704.0,0,1033704.0,103370.40000000001,0,0,,,,,,,,
OF,SIM004,28393-61J00#GROMMET T/M GEAR CONTROL,1518.0,240.0,364320.0,0,364320.0,36432.0,0,0,,,,,,,,
OF,ISI026,72231-77501#FLAP FRONT MUD,6113.0,1536.0,9389568.0,0,9389568.0,938956.8,0,0,,,,,,,,
OF,ISI027,72232-77572#FLAP REAR MUD,5614.0,24.0,134736.0,0,134736.0,13473.6,0,0,,,,,,,,
OF,ISI002,ISI.72831-77500#PAD DECK MOUNTING,1261.0,816.0,1028976.0,0,1028976.0,102897.6,0,0,,,,,,,,
OF,ISI003,ISI.73461-54G00#CUSHION GLOVE BOX LD SIDE,534.0,384.0,205056.0,0,205056.0,20505.600000000002,0,0,,,,,,,,
OF,ISI007,85299-67L20#CUSHION FR CUSH,1441.0,60.0,86460.0,0,86460.0,8646.0,0,0,,,,,,,,
OF,SIM008,35153-65J00#GROMMET REAR COMB LAMP,662.0,720.0,476640.0,0,476640.0,47664.0,0,0,,,,,,,,
OF,SIM028,18571-65H20#CAP CANISTER IR,2051.0,216.0,443016.0,0,443016.0,44301.600000000006,0,0,,,,,,,,
OF,SIM016,72831-77500#PAD DECK MOUNTING,1261.0,48.0,60528.0,0,60528.0,6052.8,0,0,,,,,,,,
OF,SIM025,34955-70K00#BUSH EPI BRKT,484.0,96.0,46464.0,0,46464.0,4646.400000000001,0,0,,,,,,,,
OF,SIM027,75561-67L00#PAD SPARE TIRE,3533.0,96.0,339168.0,0,339168.0,33916.8,0,0,,,,,,,,
OF,SIM005,73461-54G00#CUSHION GLOVE BOX LD SIDE,534.0,192.0,102528.0,0,102528.0,10252.800000000001,0,0,,,,,,,,
OF,ISI004,ISI.77192-50E00#CUSHION TRUNK LID FRONT,344.0,96.0,33024.0,0,33024.0,3302.4,0,0,,,,,,,,
OF,ISI013,ISI.81892-77700#RUBBER STOPPER,4620.0,4356.0,20124720.0,0,20124720.0,2012472.0,0,0,,,,,,,,
OF,ISI002,ISI.72831-77500#PAD DECK MOUNTING,1261.0,1344.0,1694784.0,0,1694784.0,169478.40000000002,0,0,,,,,,,,
OF,ISI004,ISI.77192-50E00#CUSHION TRUNK LID FRONT,344.0,192.0,66048.0,0,66048.0,6604.8,0,0,,,,,,,,
OF,ISI006,18571-65H20-00#CAP CANISTER IR,2051.0,1476.0,3027276.0,0,3027276.0,302727.60000000003,0,0,,,,,,,,
OF,ISI016,SIM.34955-70K00-000#BUSH EPI BRKT,484.0,648.0,313632.0,0,313632.0,31363.2,0,0,,,,,,,,
OF,ISI,09250-30010-000#CAP REAR FLOOR DRAIN,601.0,1632.0,980832.0,0,980832.0,98083.20000000001,0,0,,,,,,,,
OF,SIM006,09320-06006#CUSHION SPARE TIRE STOPPER,869.0,2016.0,1751904.0,0,1751904.0,175190.40000000002,0,0,,,,,,,,
OF,SIM004,28393-61J00#GROMMET T/M GEAR CONTROL,1518.0,576.0,874368.0,0,874368.0,87436.8,0,0,,,,,,,,
OF,ISI026,72231-77501#FLAP FRONT MUD,6113.0,3072.0,18779136.0,0,18779136.0,1877913.6,0,0,,,,,,,,
OF,ISI027,72232-77572#FLAP REAR MUD,5614.0,36.0,202104.0,0,202104.0,20210.4,0,0,,,,,,,,
OF,SIM016,72831-77500#PAD DECK MOUNTING,1261.0,336.0,423696.0,0,423696.0,42369.600000000006,0,0,,,,,,,,
OF,SIM005,73461-54G00#CUSHION GLOVE BOX LD SIDE,534.0,192.0,102528.0,0,102528.0,10252.800000000001,0,0,,,,,,,,
OF,ISI014,37275-67L00#CAP CGLTR HOLE,700.0,192.0,134400.0,0,134400.0,13440.0,0,0,,,,,,,,
OF,ISI020,SIM.75561-67L00-000#PAD SPARE TIRE,3533.0,648.0,2289384.0,0,2289384.0,228938.40000000002,0,0,,,,,,,,
OF,SIM032,13881-85R00#BOOT AIR CLEANER,11644.0,120.0,1397280.0,0,1397280.0,139728.0,0,0,,,,,,,,
OF,ISI003,ISI.73461-54G00#CUSHION GLOVE BOX LD SIDE,534.0,768.0,410112.0,0,410112.0,41011.200000000004,0,0,,,,,,,,
OF,SIM012,09321-10023#CUSHION FRONT HOOD LOCK,823.0,960.0,790080.0,0,790080.0,79008.0,0,0,,,,,,,,
OF,ISI007,85299-67L20#CUSHION FR CUSH,1441.0,768.0,1106688.0,0,1106688.0,110668.8,0,0,,,,,,,,
OF,ISI,11191-73R00-000#HOSE BREATHER,2928.0,156.0,456768.0,0,456768.0,45676.8,0,0,,,,,,,,
OF,ISI,11193-73R00-000#HOSE PCV,5054.0,208.0,1051232.0,0,1051232.0,105123.20000000001,0,0,,,,,,,,
OF,ISI,"17852-73R00#HOSE, RDTR INLET",10597.0,160.0,1695520.0,0,1695520.0,169552.0,0,0,,,,,,,,
OF,ISI,"17854-73R00#HOSE, RDTR OUTLET",12009.0,120.0,1441080.0,0,1441080.0,144108.0,0,0,,,,,,,,
OF,ISI,"17871-73R00#HOSE, HTR INLET",11297.0,140.0,1581580.0,0,1581580.0,158158.0,0,0,,,,,,,,
