"id","name","state_id"
"city1101","KABUPATEN SIMEULUE","Aceh"
"city1102","KABUPATEN ACEH SINGKIL","Aceh"
"city1103","KABUPATEN ACEH SELATAN","Aceh"
"city1104","KABUPATEN ACEH TENGGARA","Aceh"
"city1105","KABUPATEN ACEH TIMUR","Aceh"
"city1106","KABUPATEN ACEH TENGAH","Aceh"
"city1107","KABUPATEN ACEH BARAT","Aceh"
"city1108","KABUPATEN ACEH BESAR","Aceh"
"city1109","KABUPATEN PIDIE","Aceh"
"city1110","KABUPATEN BIREUEN","Aceh"
"city1111","KABUPATEN ACEH UTARA","Aceh"
"city1112","KABUPATEN ACEH BARAT DAYA","Aceh"
"city1113","KABUPATEN GAYO LUES","Aceh"
"city1114","KABUPATEN ACEH TAMIANG","Aceh"
"city1115","KABUPATEN NAGAN RAYA","Aceh"
"city1116","KABUPATEN ACEH JAYA","Aceh"
"city1117","KABUPATEN BENER MERIAH","Aceh"
"city1118","KABUPATEN PIDIE JAYA","Aceh"
"city1171","KOTA BANDA ACEH","Aceh"
"city1172","KOTA SABANG","Aceh"
"city1173","KOTA LANGSA","Aceh"
"city1174","KOTA LHOKSEUMAWE","Aceh"
"city1175","KOTA SUBULUSSALAM","Aceh"
"city1201","KABUPATEN NIAS","Sumatra Utara"
"city1202","KABUPATEN MANDAILING NATAL","Sumatra Utara"
"city1203","KABUPATEN TAPANULI SELATAN","Sumatra Utara"
"city1204","KABUPATEN TAPANULI TENGAH","Sumatra Utara"
"city1205","KABUPATEN TAPANULI UTARA","Sumatra Utara"
"city1206","KABUPATEN TOBA SAMOSIR","Sumatra Utara"
"city1207","KABUPATEN LABUHAN BATU","Sumatra Utara"
"city1208","KABUPATEN ASAHAN","Sumatra Utara"
"city1209","KABUPATEN SIMALUNGUN","Sumatra Utara"
"city1210","KABUPATEN DAIRI","Sumatra Utara"
"city1211","KABUPATEN KARO","Sumatra Utara"
"city1212","KABUPATEN DELI SERDANG","Sumatra Utara"
"city1213","KABUPATEN LANGKAT","Sumatra Utara"
"city1214","KABUPATEN NIAS SELATAN","Sumatra Utara"
"city1215","KABUPATEN HUMBANG HASUNDUTAN","Sumatra Utara"
"city1216","KABUPATEN PAKPAK BHARAT","Sumatra Utara"
"city1217","KABUPATEN SAMOSIR","Sumatra Utara"
"city1218","KABUPATEN SERDANG BEDAGAI","Sumatra Utara"
"city1219","KABUPATEN BATU BARA","Sumatra Utara"
"city1220","KABUPATEN PADANG LAWAS UTARA","Sumatra Utara"
"city1221","KABUPATEN PADANG LAWAS","Sumatra Utara"
"city1222","KABUPATEN LABUHAN BATU SELATAN","Sumatra Utara"
"city1223","KABUPATEN LABUHAN BATU UTARA","Sumatra Utara"
"city1224","KABUPATEN NIAS UTARA","Sumatra Utara"
"city1225","KABUPATEN NIAS BARAT","Sumatra Utara"
"city1271","KOTA SIBOLGA","Sumatra Utara"
"city1272","KOTA TANJUNG BALAI","Sumatra Utara"
"city1273","KOTA PEMATANG SIANTAR","Sumatra Utara"
"city1274","KOTA TEBING TINGGI","Sumatra Utara"
"city1275","KOTA MEDAN","Sumatra Utara"
"city1276","KOTA BINJAI","Sumatra Utara"
"city1277","KOTA PADANGSIDIMPUAN","Sumatra Utara"
"city1278","KOTA GUNUNGSITOLI","Sumatra Utara"
"city1301","KABUPATEN KEPULAUAN MENTAWAI","Sumatra Barat"
"city1302","KABUPATEN PESISIR SELATAN","Sumatra Barat"
"city1303","KABUPATEN SOLOK","Sumatra Barat"
"city1304","KABUPATEN SIJUNJUNG","Sumatra Barat"
"city1305","KABUPATEN TANAH DATAR","Sumatra Barat"
"city1306","KABUPATEN PADANG PARIAMAN","Sumatra Barat"
"city1307","KABUPATEN AGAM","Sumatra Barat"
"city1308","KABUPATEN LIMA PULUH KOTA","Sumatra Barat"
"city1309","KABUPATEN PASAMAN","Sumatra Barat"
"city1310","KABUPATEN SOLOK SELATAN","Sumatra Barat"
"city1311","KABUPATEN DHARMASRAYA","Sumatra Barat"
"city1312","KABUPATEN PASAMAN BARAT","Sumatra Barat"
"city1371","KOTA PADANG","Sumatra Barat"
"city1372","KOTA SOLOK","Sumatra Barat"
"city1373","KOTA SAWAH LUNTO","Sumatra Barat"
"city1374","KOTA PADANG PANJANG","Sumatra Barat"
"city1375","KOTA BUKITTINGGI","Sumatra Barat"
"city1376","KOTA PAYAKUMBUH","Sumatra Barat"
"city1377","KOTA PARIAMAN","Sumatra Barat"
"city1401","KABUPATEN KUANTAN SINGINGI","Riau"
"city1402","KABUPATEN INDRAGIRI HULU","Riau"
"city1403","KABUPATEN INDRAGIRI HILIR","Riau"
"city1404","KABUPATEN PELALAWAN","Riau"
"city1405","KABUPATEN S I A K","Riau"
"city1406","KABUPATEN KAMPAR","Riau"
"city1407","KABUPATEN ROKAN HULU","Riau"
"city1408","KABUPATEN BENGKALIS","Riau"
"city1409","KABUPATEN ROKAN HILIR","Riau"
"city1410","KABUPATEN KEPULAUAN MERANTI","Riau"
"city1471","KOTA PEKANBARU","Riau"
"city1473","KOTA D U M A I","Riau"
"city1501","KABUPATEN KERINCI","Jambi"
"city1502","KABUPATEN MERANGIN","Jambi"
"city1503","KABUPATEN SAROLANGUN","Jambi"
"city1504","KABUPATEN BATANG HARI","Jambi"
"city1505","KABUPATEN MUARO JAMBI","Jambi"
"city1506","KABUPATEN TANJUNG JABUNG TIMUR","Jambi"
"city1507","KABUPATEN TANJUNG JABUNG BARAT","Jambi"
"city1508","KABUPATEN TEBO","Jambi"
"city1509","KABUPATEN BUNGO","Jambi"
"city1571","KOTA JAMBI","Jambi"
"city1572","KOTA SUNGAI PENUH","Jambi"
"city1601","KABUPATEN OGAN KOMERING ULU","Sumatra Selatan"
"city1602","KABUPATEN OGAN KOMERING ILIR","Sumatra Selatan"
"city1603","KABUPATEN MUARA ENIM","Sumatra Selatan"
"city1604","KABUPATEN LAHAT","Sumatra Selatan"
"city1605","KABUPATEN MUSI RAWAS","Sumatra Selatan"
"city1606","KABUPATEN MUSI BANYUASIN","Sumatra Selatan"
"city1607","KABUPATEN BANYU ASIN","Sumatra Selatan"
"city1608","KABUPATEN OGAN KOMERING ULU SELATAN","Sumatra Selatan"
"city1609","KABUPATEN OGAN KOMERING ULU TIMUR","Sumatra Selatan"
"city1610","KABUPATEN OGAN ILIR","Sumatra Selatan"
"city1611","KABUPATEN EMPAT LAWANG","Sumatra Selatan"
"city1612","KABUPATEN PENUKAL ABAB LEMATANG ILIR","Sumatra Selatan"
"city1613","KABUPATEN MUSI RAWAS UTARA","Sumatra Selatan"
"city1671","KOTA PALEMBANG","Sumatra Selatan"
"city1672","KOTA PRABUMULIH","Sumatra Selatan"
"city1673","KOTA PAGAR ALAM","Sumatra Selatan"
"city1674","KOTA LUBUKLINGGAU","Sumatra Selatan"
"city1701","KABUPATEN BENGKULU SELATAN","Bengkulu"
"city1702","KABUPATEN REJANG LEBONG","Bengkulu"
"city1703","KABUPATEN BENGKULU UTARA","Bengkulu"
"city1704","KABUPATEN KAUR","Bengkulu"
"city1705","KABUPATEN SELUMA","Bengkulu"
"city1706","KABUPATEN MUKOMUKO","Bengkulu"
"city1707","KABUPATEN LEBONG","Bengkulu"
