"id","name","city_id"
"subdistrict1101010","TEUPAH SELATAN","KABUPATEN SIMEULUE"
"subdistrict1101020","SIMEULUE TIMUR","KABUPATEN SIMEULUE"
"subdistrict1101021","TEUPAH BARAT","KABUPATEN SIMEULUE"
"subdistrict1101022","TEUPAH TENGAH","KABUPATEN SIMEULUE"
"subdistrict1101030","SIMEULUE TENGAH","KABUPATEN SIMEULUE"
"subdistrict1101031","TELUK DALAM","KABUPATEN SIMEULUE"
"subdistrict1101032","SIMEULUE CUT","KABUPATEN SIMEULUE"
"subdistrict1101040","SALANG","KABUPATEN SIMEULUE"
"subdistrict1101050","SIMEULUE BARAT","KABUPATEN SIMEULUE"
"subdistrict1101051","ALAFAN","KABUPATEN SIMEULUE"
"subdistrict1102010","PULAU BANYAK","KABUPATEN ACEH SINGKIL"
"subdistrict1102011","PULAU BANYAK BARAT","KABUPATEN ACEH SINGKIL"
"subdistrict1102020","SINGKIL","KABUPATEN ACEH SINGKIL"
"subdistrict1102021","SINGKIL UTARA","KABUPATEN ACEH SINGKIL"
"subdistrict1102022","KUALA BARU","KABUPATEN ACEH SINGKIL"
"subdistrict1102030","SIMPANG KANAN","KABUPATEN ACEH SINGKIL"
"subdistrict1102031","GUNUNG MERIAH","KABUPATEN ACEH SINGKIL"
"subdistrict1102032","DANAU PARIS","KABUPATEN ACEH SINGKIL"
"subdistrict1102033","SURO","KABUPATEN ACEH SINGKIL"
"subdistrict1102042","SINGKOHOR","KABUPATEN ACEH SINGKIL"
"subdistrict1102043","KOTA BAHARU","KABUPATEN ACEH SINGKIL"
"subdistrict1103010","TRUMON","KABUPATEN ACEH SELATAN"
"subdistrict1103011","TRUMON TIMUR","KABUPATEN ACEH SELATAN"
"subdistrict1103012","TRUMON TENGAH","KABUPATEN ACEH SELATAN"
"subdistrict1103020","BAKONGAN","KABUPATEN ACEH SELATAN"
"subdistrict1103021","BAKONGAN TIMUR","KABUPATEN ACEH SELATAN"
"subdistrict1103022","KOTA BAHAGIA","KABUPATEN ACEH SELATAN"
"subdistrict1103030","KLUET SELATAN","KABUPATEN ACEH SELATAN"
"subdistrict1103031","KLUET TIMUR","KABUPATEN ACEH SELATAN"
"subdistrict1103040","KLUET UTARA","KABUPATEN ACEH SELATAN"
"subdistrict1103041","PASIE RAJA","KABUPATEN ACEH SELATAN"
"subdistrict1103042","KLUET TENGAH","KABUPATEN ACEH SELATAN"
"subdistrict1103050","TAPAK TUAN","KABUPATEN ACEH SELATAN"
"subdistrict1103060","SAMA DUA","KABUPATEN ACEH SELATAN"
"subdistrict1103070","SAWANG","KABUPATEN ACEH SELATAN"
"subdistrict1103080","MEUKEK","KABUPATEN ACEH SELATAN"
"subdistrict1103090","LABUHAN HAJI","KABUPATEN ACEH SELATAN"
"subdistrict1103091","LABUHAN HAJI TIMUR","KABUPATEN ACEH SELATAN"
"subdistrict1103092","LABUHAN HAJI BARAT","KABUPATEN ACEH SELATAN"
"subdistrict1104010","LAWE ALAS","KABUPATEN ACEH TENGGARA"
"subdistrict1104011","BABUL RAHMAH","KABUPATEN ACEH TENGGARA"
"subdistrict1104012","TANOH ALAS","KABUPATEN ACEH TENGGARA"
"subdistrict1104020","LAWE SIGALA-GALA","KABUPATEN ACEH TENGGARA"
"subdistrict1104021","BABUL MAKMUR","KABUPATEN ACEH TENGGARA"
"subdistrict1104022","SEMADAM","KABUPATEN ACEH TENGGARA"
"subdistrict1104023","LAUSER","KABUPATEN ACEH TENGGARA"
"subdistrict1104030","BAMBEL","KABUPATEN ACEH TENGGARA"
"subdistrict1104031","BUKIT TUSAM","KABUPATEN ACEH TENGGARA"
"subdistrict1104032","LAWE SUMUR","KABUPATEN ACEH TENGGARA"
"subdistrict1104040","BABUSSALAM","KABUPATEN ACEH TENGGARA"
"subdistrict1104041","LAWE BULAN","KABUPATEN ACEH TENGGARA"
"subdistrict1104050","BADAR","KABUPATEN ACEH TENGGARA"
"subdistrict1104051","DARUL HASANAH","KABUPATEN ACEH TENGGARA"
"subdistrict1104052","KETAMBE","KABUPATEN ACEH TENGGARA"
"subdistrict1104053","DELENG POKHKISEN","KABUPATEN ACEH TENGGARA"
"subdistrict1105080","SERBA JADI","KABUPATEN ACEH TIMUR"
"subdistrict1105081","SIMPANG JERNIH","KABUPATEN ACEH TIMUR"
"subdistrict1105082","PEUNARON","KABUPATEN ACEH TIMUR"
"subdistrict1105090","BIREM BAYEUN","KABUPATEN ACEH TIMUR"
"subdistrict1105100","RANTAU SELAMAT","KABUPATEN ACEH TIMUR"
"subdistrict1105101","SUNGAI RAYA","KABUPATEN ACEH TIMUR"
"subdistrict1105110","PEUREULAK","KABUPATEN ACEH TIMUR"
"subdistrict1105111","PEUREULAK TIMUR","KABUPATEN ACEH TIMUR"
"subdistrict1105112","PEUREULAK BARAT","KABUPATEN ACEH TIMUR"
"subdistrict1105120","RANTO PEUREULAK","KABUPATEN ACEH TIMUR"
"subdistrict1105130","IDI RAYEUK","KABUPATEN ACEH TIMUR"
"subdistrict1105131","PEUDAWA","KABUPATEN ACEH TIMUR"
"subdistrict1105132","BANDA ALAM","KABUPATEN ACEH TIMUR"
"subdistrict1105133","IDI TUNONG","KABUPATEN ACEH TIMUR"
"subdistrict1105134","DARUL IHSAN","KABUPATEN ACEH TIMUR"
"subdistrict1105135","IDI TIMUR","KABUPATEN ACEH TIMUR"
"subdistrict1105140","DARUL AMAN","KABUPATEN ACEH TIMUR"
"subdistrict1105150","NURUSSALAM","KABUPATEN ACEH TIMUR"
"subdistrict1105151","DARUL FALAH","KABUPATEN ACEH TIMUR"
"subdistrict1105160","JULOK","KABUPATEN ACEH TIMUR"
"subdistrict1105161","INDRA MAKMUR","KABUPATEN ACEH TIMUR"
"subdistrict1105170","PANTE BIDARI","KABUPATEN ACEH TIMUR"
"subdistrict1105180","SIMPANG ULIM","KABUPATEN ACEH TIMUR"
"subdistrict1105181","MADAT","KABUPATEN ACEH TIMUR"
"subdistrict1106010","LINGE","KABUPATEN ACEH TENGAH"
"subdistrict1106011","ATU LINTANG","KABUPATEN ACEH TENGAH"
"subdistrict1106012","JAGONG JEGET","KABUPATEN ACEH TENGAH"
"subdistrict1106020","BINTANG","KABUPATEN ACEH TENGAH"
"subdistrict1106031","LUT TAWAR","KABUPATEN ACEH TENGAH"
"subdistrict1106032","KEBAYAKAN","KABUPATEN ACEH TENGAH"
"subdistrict1106040","PEGASING","KABUPATEN ACEH TENGAH"
"subdistrict1106041","BIES","KABUPATEN ACEH TENGAH"
"subdistrict1106050","BEBESEN","KABUPATEN ACEH TENGAH"
"subdistrict1106051","KUTE PANANG","KABUPATEN ACEH TENGAH"
"subdistrict1106060","SILIH NARA","KABUPATEN ACEH TENGAH"
"subdistrict1106061","KETOL","KABUPATEN ACEH TENGAH"
"subdistrict1106062","CELALA","KABUPATEN ACEH TENGAH"
"subdistrict1106063","RUSIP ANTARA","KABUPATEN ACEH TENGAH"
"subdistrict1107050","JOHAN PAHLAWAN","KABUPATEN ACEH BARAT"
"subdistrict1107060","SAMATIGA","KABUPATEN ACEH BARAT"
"subdistrict1107061","BUBON","KABUPATEN ACEH BARAT"
"subdistrict1107062","ARONGAN LAMBALEK","KABUPATEN ACEH BARAT"
"subdistrict1107070","WOYLA","KABUPATEN ACEH BARAT"
"subdistrict1107071","WOYLA BARAT","KABUPATEN ACEH BARAT"
"subdistrict1107072","WOYLA TIMUR","KABUPATEN ACEH BARAT"
"subdistrict1107080","KAWAY XVI","KABUPATEN ACEH BARAT"
"subdistrict1107081","MEUREUBO","KABUPATEN ACEH BARAT"
"subdistrict1107082","PANTAI CEUREMEN","KABUPATEN ACEH BARAT"
"subdistrict1107083","PANTON REU","KABUPATEN ACEH BARAT"
"subdistrict1107090","SUNGAI MAS","KABUPATEN ACEH BARAT"
"subdistrict1108010","LHOONG","KABUPATEN ACEH BESAR"
"subdistrict1108020","LHOKNGA","KABUPATEN ACEH BESAR"
"subdistrict1108021","LEUPUNG","KABUPATEN ACEH BESAR"
"subdistrict1108030","INDRAPURI","KABUPATEN ACEH BESAR"
"subdistrict1108031","KUTA COT GLIE","KABUPATEN ACEH BESAR"
"subdistrict1108040","SEULIMEUM","KABUPATEN ACEH BESAR"
"subdistrict1108041","KOTA JANTHO","KABUPATEN ACEH BESAR"
"subdistrict1108042","LEMBAH SEULAWAH","KABUPATEN ACEH BESAR"
"subdistrict1108050","MESJID RAYA","KABUPATEN ACEH BESAR"
"subdistrict1108060","DARUSSALAM","KABUPATEN ACEH BESAR"
"subdistrict1108061","BAITUSSALAM","KABUPATEN ACEH BESAR"
"subdistrict1108070","KUTA BARO","KABUPATEN ACEH BESAR"
"subdistrict1108080","MONTASIK","KABUPATEN ACEH BESAR"
"subdistrict1108081","BLANG BINTANG","KABUPATEN ACEH BESAR"
"subdistrict1108090","INGIN JAYA","KABUPATEN ACEH BESAR"
"subdistrict1108091","KRUENG BARONA JAYA","KABUPATEN ACEH BESAR"
"subdistrict1108100","SUKA MAKMUR","KABUPATEN ACEH BESAR"
"subdistrict1108101","KUTA MALAKA","KABUPATEN ACEH BESAR"
"subdistrict1108102","SIMPANG TIGA","KABUPATEN ACEH BESAR"
"subdistrict1108110","DARUL IMARAH","KABUPATEN ACEH BESAR"
"subdistrict1108111","DARUL KAMAL","KABUPATEN ACEH BESAR"
"subdistrict1108120","PEUKAN BADA","KABUPATEN ACEH BESAR"
"subdistrict1108130","PULO ACEH","KABUPATEN ACEH BESAR"
"subdistrict1109010","GEUMPANG","KABUPATEN PIDIE"
"subdistrict1109011","MANE","KABUPATEN PIDIE"
"subdistrict1109070","GLUMPANG TIGA","KABUPATEN PIDIE"
"subdistrict1109071","GLUMPANG BARO","KABUPATEN PIDIE"
"subdistrict1109080","MUTIARA","KABUPATEN PIDIE"
"subdistrict1109081","MUTIARA TIMUR","KABUPATEN PIDIE"
"subdistrict1109090","TIRO/TRUSEB","KABUPATEN PIDIE"
"subdistrict1109100","TANGSE","KABUPATEN PIDIE"
"subdistrict1109111","KEUMALA","KABUPATEN PIDIE"
"subdistrict1109112","TITEUE","KABUPATEN PIDIE"
"subdistrict1109120","SAKTI","KABUPATEN PIDIE"
"subdistrict1109130","MILA","KABUPATEN PIDIE"
"subdistrict1109140","PADANG TIJI","KABUPATEN PIDIE"
"subdistrict1109150","DELIMA","KABUPATEN PIDIE"
"subdistrict1109151","GRONG GRONG","KABUPATEN PIDIE"
"subdistrict1109160","INDRAJAYA","KABUPATEN PIDIE"
"subdistrict1109170","PEUKAN BARO","KABUPATEN PIDIE"
"subdistrict1109180","KEMBANG TANJONG","KABUPATEN PIDIE"
"subdistrict1109190","SIMPANG TIGA","KABUPATEN PIDIE"
"subdistrict1109200","KOTA SIGLI","KABUPATEN PIDIE"
"subdistrict1109210","PIDIE","KABUPATEN PIDIE"
"subdistrict1109220","BATEE","KABUPATEN PIDIE"
