"id","name","subdistrict_id"
"ward1101010001","LATIUNG","TEUPAH SELATAN"
"ward1101010002","LABUHAN BAJAU","TEUPAH SELATAN"
"ward1101010003","SUAK LAMATAN","TEUPAH SELATAN"
"ward1101010004","ANA AO","TEUPAH SELATAN"
"ward1101010005","LATALING","TEUPAH SELATAN"
"ward1101010006","PULAU BENGKALAK","TEUPAH SELATAN"
"ward1101010007","BADEGONG","TEUPAH SELATAN"
"ward1101010008","KEBUN BARU","TEUPAH SELATAN"
"ward1101010009","ULUL MAYANG","TEUPAH SELATAN"
"ward1101010010","PASIR TINGGI","TEUPAH SELATAN"
"ward1101010011","LABUHAN JAYA","TEUPAH SELATAN"
"ward1101010012","LABUHAN BAKTI","TEUPAH SELATAN"
"ward1101010013","BATU RALANG","TEUPAH SELATAN"
"ward1101010014","ALUS ALUS","TEUPAH SELATAN"
"ward1101010015","SEUNEUBOK","TEUPAH SELATAN"
"ward1101010016","BLANG SEBEL","TEUPAH SELATAN"
"ward1101010017","TRANS BARU","TEUPAH SELATAN"
"ward1101010018","TRANS MERANTI","TEUPAH SELATAN"
"ward1101010019","TRANS JERNGE","TEUPAH SELATAN"
"ward1101020022","AIR PINANG","SIMEULUE TIMUR"
"ward1101020023","KUALA MAKMUR","SIMEULUE TIMUR"
"ward1101020024","GANTING","SIMEULUE TIMUR"
"ward1101020025","LINGGI","SIMEULUE TIMUR"
"ward1101020026","LUGU","SIMEULUE TIMUR"
"ward1101020027","SINABANG","SIMEULUE TIMUR"
"ward1101020028","SUKA MAJU","SIMEULUE TIMUR"
"ward1101020029","SUKA KARYA","SIMEULUE TIMUR"
"ward1101020030","SUKA JAYA","SIMEULUE TIMUR"
"ward1101020031","AIR DINGIN","SIMEULUE TIMUR"
"ward1101020032","KOTA BATU","SIMEULUE TIMUR"
"ward1101020035","SUAK BULUH","SIMEULUE TIMUR"
"ward1101020036","UJUNG TINGGI","SIMEULUE TIMUR"
"ward1101020037","PULAU SIUMAT","SIMEULUE TIMUR"
"ward1101020038","SEFOYAN","SIMEULUE TIMUR"
"ward1101020039","AMAITENG MULIA","SIMEULUE TIMUR"
"ward1101020040","AMERIA BAHAGIA","SIMEULUE TIMUR"
"ward1101021001","SITAL","TEUPAH BARAT"
"ward1101021002","LEUBANG","TEUPAH BARAT"
"ward1101021003","LEUBANG HULU","TEUPAH BARAT"
"ward1101021004","AWE SEUBAL","TEUPAH BARAT"
"ward1101021005","LANTIK","TEUPAH BARAT"
"ward1101021006","AWE KECIL","TEUPAH BARAT"
"ward1101021007","SALUR","TEUPAH BARAT"
"ward1101021008","SALUR LATUN","TEUPAH BARAT"
"ward1101021009","SALUR LASENGALU","TEUPAH BARAT"
"ward1101021010","NANCALA","TEUPAH BARAT"
"ward1101021011","MAUDIL","TEUPAH BARAT"
"ward1101021012","INOR","TEUPAH BARAT"
"ward1101021013","NAIBOS","TEUPAH BARAT"
"ward1101021014","LAAYON","TEUPAH BARAT"
"ward1101021015","ANGKEO","TEUPAH BARAT"
"ward1101021016","BUNON","TEUPAH BARAT"
"ward1101021017","SILENGAS","TEUPAH BARAT"
"ward1101021018","PULAU TEUPAH","TEUPAH BARAT"
"ward1101022001","KAHAT","TEUPAH TENGAH"
"ward1101022002","BUSUNG INDAH","TEUPAH TENGAH"
"ward1101022003","NANCAWA","TEUPAH TENGAH"
"ward1101022004","LABUAH","TEUPAH TENGAH"
"ward1101022005","ABAIL","TEUPAH TENGAH"
"ward1101022006","SIMPANG ABAIL","TEUPAH TENGAH"
"ward1101022007","LANTING","TEUPAH TENGAH"
"ward1101022008","LASIKIN","TEUPAH TENGAH"
"ward1101022009","MATANURUNG","TEUPAH TENGAH"
"ward1101022010","SUA SUA","TEUPAH TENGAH"
"ward1101022011","BATU BATU","TEUPAH TENGAH"
"ward1101022012","SITUBUK","TEUPAH TENGAH"
"ward1101030001","DIHIT","SIMEULUE TENGAH"
"ward1101030002","LAUKE","SIMEULUE TENGAH"
"ward1101030003","LAMBAYA","SIMEULUE TENGAH"
"ward1101030004","LAKUBANG","SIMEULUE TENGAH"
"ward1101030005","KAMPUNG AIE","SIMEULUE TENGAH"
"ward1101030006","LAUREE","SIMEULUE TENGAH"
"ward1101030007","LATITIK","SIMEULUE TENGAH"
"ward1101030008","LAMAYANG","SIMEULUE TENGAH"
"ward1101030009","WEL WEL","SIMEULUE TENGAH"
"ward1101030020","SITUFA JAYA","SIMEULUE TENGAH"
"ward1101030021","PUTRA JAYA","SIMEULUE TENGAH"
"ward1101030022","LUAN SORIP","SIMEULUE TENGAH"
"ward1101030023","SUAK BARU","SIMEULUE TENGAH"
"ward1101030024","SEBBE","SIMEULUE TENGAH"
